timestamp,violations,snapshot
2026-05-01 16:13:33.625,1,violations\snap_20260501_161333.jpg
2026-05-01 16:13:50.974,1,violations\snap_20260501_161350.jpg
2026-05-01 16:13:53.246,1,violations\snap_20260501_161353.jpg
2026-05-01 16:13:55.819,1,violations\snap_20260501_161355.jpg
2026-05-01 16:13:58.529,1,violations\snap_20260501_161358.jpg
2026-05-01 16:14:00.612,2,violations\snap_20260501_161400.jpg
2026-05-01 16:14:02.671,1,violations\snap_20260501_161402.jpg
2026-05-01 16:14:04.800,1,violations\snap_20260501_161404.jpg
2026-05-01 16:14:06.879,1,violations\snap_20260501_161406.jpg
2026-05-01 16:14:10.175,1,violations\snap_20260501_161410.jpg
2026-05-01 16:14:12.283,1,violations\snap_20260501_161412.jpg
2026-05-01 16:14:14.333,1,violations\snap_20260501_161414.jpg
2026-05-01 16:14:16.423,2,violations\snap_20260501_161416.jpg
2026-05-01 16:14:18.497,2,violations\snap_20260501_161418.jpg
2026-05-01 19:10:51.406,1,violations\snap_20260501_191051.jpg
2026-05-01 19:10:53.625,1,violations\snap_20260501_191053.jpg
2026-05-01 19:10:55.881,1,violations\snap_20260501_191055.jpg
2026-05-01 19:10:58.141,1,violations\snap_20260501_191058.jpg
2026-05-01 19:11:00.324,1,violations\snap_20260501_191100.jpg
2026-05-01 19:11:02.372,1,violations\snap_20260501_191102.jpg
2026-05-01 19:11:04.430,1,violations\snap_20260501_191104.jpg
2026-05-01 19:11:06.666,1,violations\snap_20260501_191106.jpg
2026-05-01 19:11:08.676,1,violations\snap_20260501_191108.jpg
2026-05-01 19:11:10.903,1,violations\snap_20260501_191110.jpg
2026-05-01 19:11:13.065,2,violations\snap_20260501_191113.jpg
2026-05-01 19:11:15.222,2,violations\snap_20260501_191115.jpg
2026-05-01 19:11:17.426,1,violations\snap_20260501_191117.jpg
2026-05-01 19:11:19.621,2,violations\snap_20260501_191119.jpg
2026-05-01 19:11:21.782,2,violations\snap_20260501_191121.jpg
2026-05-01 19:11:23.977,2,violations\snap_20260501_191123.jpg
2026-05-01 19:11:26.119,1,violations\snap_20260501_191126.jpg
2026-05-01 19:11:28.311,1,violations\snap_20260501_191128.jpg
2026-05-01 19:11:30.615,2,violations\snap_20260501_191130.jpg
2026-05-01 19:11:32.926,1,violations\snap_20260501_191132.jpg
2026-05-01 19:11:35.039,1,violations\snap_20260501_191135.jpg
2026-05-01 19:11:37.221,3,violations\snap_20260501_191137.jpg
2026-05-01 19:11:39.419,3,violations\snap_20260501_191139.jpg
2026-05-01 19:11:41.615,1,violations\snap_20260501_191141.jpg
2026-05-01 19:11:43.616,1,violations\snap_20260501_191143.jpg
2026-05-01 19:11:45.866,1,violations\snap_20260501_191145.jpg
2026-05-01 19:13:16.577,1,violations\snap_20260501_191316.jpg
2026-05-01 19:13:18.773,1,violations\snap_20260501_191318.jpg
2026-05-01 19:13:21.008,1,violations\snap_20260501_191321.jpg
2026-05-01 19:13:23.138,1,violations\snap_20260501_191323.jpg
2026-05-01 19:13:25.253,1,violations\snap_20260501_191325.jpg
2026-05-01 19:13:27.300,1,violations\snap_20260501_191327.jpg
2026-05-01 19:13:29.454,1,violations\snap_20260501_191329.jpg
2026-05-01 19:13:31.582,1,violations\snap_20260501_191331.jpg
2026-05-01 19:13:33.702,1,violations\snap_20260501_191333.jpg
2026-05-01 19:13:35.869,1,violations\snap_20260501_191335.jpg
2026-05-01 19:13:38.063,1,violations\snap_20260501_191338.jpg
2026-05-01 19:13:40.080,1,violations\snap_20260501_191340.jpg
2026-05-01 19:13:42.329,1,violations\snap_20260501_191342.jpg
2026-05-01 19:13:44.346,1,violations\snap_20260501_191344.jpg
2026-05-01 19:13:46.387,1,violations\snap_20260501_191346.jpg
2026-05-01 19:13:48.506,1,violations\snap_20260501_191348.jpg
2026-05-01 19:13:50.655,1,violations\snap_20260501_191350.jpg
2026-05-01 19:13:52.872,1,violations\snap_20260501_191352.jpg
2026-05-01 19:13:54.981,1,violations\snap_20260501_191354.jpg
2026-05-01 19:13:57.256,1,violations\snap_20260501_191357.jpg
2026-05-01 19:13:59.600,1,violations\snap_20260501_191359.jpg
2026-05-01 19:14:01.835,1,violations\snap_20260501_191401.jpg
2026-05-01 19:14:03.866,1,violations\snap_20260501_191403.jpg
2026-05-01 19:14:06.083,1,violations\snap_20260501_191406.jpg
2026-05-01 19:14:08.307,1,violations\snap_20260501_191408.jpg
2026-05-01 19:14:10.500,1,violations\snap_20260501_191410.jpg
2026-05-01 19:14:12.681,1,violations\snap_20260501_191412.jpg
2026-05-01 19:14:14.693,1,violations\snap_20260501_191414.jpg
2026-05-01 19:14:16.886,1,violations\snap_20260501_191416.jpg
2026-05-01 19:14:19.093,1,violations\snap_20260501_191419.jpg
2026-05-01 19:14:21.283,1,violations\snap_20260501_191421.jpg
2026-05-01 19:14:23.469,1,violations\snap_20260501_191423.jpg
2026-05-01 19:14:25.652,1,violations\snap_20260501_191425.jpg
2026-05-01 19:14:27.774,1,violations\snap_20260501_191427.jpg
2026-05-01 19:14:29.781,1,violations\snap_20260501_191429.jpg
2026-05-01 19:14:31.919,1,violations\snap_20260501_191431.jpg
2026-05-01 19:14:34.096,1,violations\snap_20260501_191434.jpg
2026-05-01 19:14:36.262,1,violations\snap_20260501_191436.jpg
2026-05-01 19:14:38.506,1,violations\snap_20260501_191438.jpg
2026-05-01 19:14:40.766,1,violations\snap_20260501_191440.jpg
2026-05-01 19:14:42.933,2,violations\snap_20260501_191442.jpg
2026-05-01 19:14:45.097,2,violations\snap_20260501_191445.jpg
2026-05-01 19:14:47.356,2,violations\snap_20260501_191447.jpg
2026-05-01 19:14:49.604,2,violations\snap_20260501_191449.jpg
2026-05-01 19:14:51.777,2,violations\snap_20260501_191451.jpg
2026-05-01 19:14:54.054,3,violations\snap_20260501_191454.jpg
2026-05-01 19:14:56.100,2,violations\snap_20260501_191456.jpg
2026-05-01 19:14:58.178,3,violations\snap_20260501_191458.jpg
2026-05-01 19:15:00.285,3,violations\snap_20260501_191500.jpg
2026-05-01 19:15:02.378,2,violations\snap_20260501_191502.jpg
2026-05-01 19:15:04.430,3,violations\snap_20260501_191504.jpg
2026-05-01 19:15:06.431,3,violations\snap_20260501_191506.jpg
2026-05-01 19:15:08.508,3,violations\snap_20260501_191508.jpg
2026-05-01 19:15:10.616,3,violations\snap_20260501_191510.jpg
2026-05-01 19:15:12.814,2,violations\snap_20260501_191512.jpg
2026-05-01 19:15:14.868,3,violations\snap_20260501_191514.jpg
2026-05-01 19:15:17.152,2,violations\snap_20260501_191517.jpg
2026-05-01 19:15:19.156,3,violations\snap_20260501_191519.jpg
2026-05-01 19:15:21.191,2,violations\snap_20260501_191521.jpg
2026-05-01 19:15:23.322,3,violations\snap_20260501_191523.jpg
2026-05-01 19:15:25.378,2,violations\snap_20260501_191525.jpg
2026-05-01 19:15:27.455,2,violations\snap_20260501_191527.jpg
2026-05-01 19:15:29.521,2,violations\snap_20260501_191529.jpg
2026-05-01 19:15:31.585,3,violations\snap_20260501_191531.jpg
2026-05-01 19:15:33.614,3,violations\snap_20260501_191533.jpg
2026-05-01 19:15:35.767,3,violations\snap_20260501_191535.jpg
2026-05-01 19:15:38.507,2,violations\snap_20260501_191538.jpg
2026-05-01 19:15:40.628,3,violations\snap_20260501_191540.jpg
2026-05-01 19:15:42.693,2,violations\snap_20260501_191542.jpg
2026-05-01 19:15:44.960,2,violations\snap_20260501_191544.jpg
2026-05-01 19:15:47.063,1,violations\snap_20260501_191547.jpg
2026-05-01 19:15:49.119,1,violations\snap_20260501_191549.jpg
2026-05-01 19:15:51.167,1,violations\snap_20260501_191551.jpg
2026-05-01 19:15:53.281,1,violations\snap_20260501_191553.jpg
2026-05-01 19:15:55.395,1,violations\snap_20260501_191555.jpg
2026-05-01 19:15:57.443,1,violations\snap_20260501_191557.jpg
2026-05-01 19:15:59.591,1,violations\snap_20260501_191559.jpg
2026-05-01 19:16:01.779,1,violations\snap_20260501_191601.jpg
2026-05-01 19:16:03.788,1,violations\snap_20260501_191603.jpg
2026-05-01 19:16:05.941,1,violations\snap_20260501_191605.jpg
2026-05-01 19:16:07.997,1,violations\snap_20260501_191607.jpg
2026-05-01 19:16:10.108,1,violations\snap_20260501_191610.jpg
2026-05-01 19:16:12.394,1,violations\snap_20260501_191612.jpg
2026-05-01 19:16:14.533,1,violations\snap_20260501_191614.jpg
2026-05-01 19:30:36.319,2,violations\snap_20260501_193036.jpg
2026-05-01 19:30:38.432,1,violations\snap_20260501_193038.jpg
2026-05-01 19:30:40.666,1,violations\snap_20260501_193040.jpg
2026-05-01 19:30:42.927,2,violations\snap_20260501_193042.jpg
2026-05-01 19:30:45.159,2,violations\snap_20260501_193045.jpg
2026-05-01 19:30:47.397,1,violations\snap_20260501_193047.jpg
2026-05-01 19:30:49.629,1,violations\snap_20260501_193049.jpg
2026-05-01 19:30:51.814,2,violations\snap_20260501_193051.jpg
2026-05-01 19:30:54.257,1,violations\snap_20260501_193054.jpg
2026-05-01 19:30:56.460,2,violations\snap_20260501_193056.jpg
2026-05-01 19:30:58.481,2,violations\snap_20260501_193058.jpg
2026-05-01 19:31:00.755,3,violations\snap_20260501_193100.jpg
2026-05-01 19:31:02.898,3,violations\snap_20260501_193102.jpg
2026-05-01 19:31:05.070,1,violations\snap_20260501_193105.jpg
2026-05-01 19:31:07.188,1,violations\snap_20260501_193107.jpg
2026-05-01 19:31:09.493,1,violations\snap_20260501_193109.jpg
2026-05-01 19:31:28.337,1,violations\snap_20260501_193128.jpg
2026-05-01 19:31:30.436,1,violations\snap_20260501_193130.jpg
2026-05-01 19:31:32.469,1,violations\snap_20260501_193132.jpg
2026-05-01 19:31:34.612,1,violations\snap_20260501_193134.jpg
2026-05-01 19:31:36.688,1,violations\snap_20260501_193136.jpg
2026-05-01 19:31:38.706,2,violations\snap_20260501_193138.jpg
2026-05-01 19:31:40.948,2,violations\snap_20260501_193140.jpg
2026-05-01 19:31:43.067,1,violations\snap_20260501_193143.jpg
2026-05-01 19:31:45.260,1,violations\snap_20260501_193145.jpg
2026-05-01 19:31:47.510,1,violations\snap_20260501_193147.jpg
2026-05-01 19:31:49.543,1,violations\snap_20260501_193149.jpg
2026-05-02 11:31:36.211,2,violations\snap_20260502_113136.jpg
2026-05-02 11:31:38.313,1,violations\snap_20260502_113138.jpg
2026-05-02 11:31:40.380,2,violations\snap_20260502_113140.jpg
2026-05-02 11:31:42.457,2,violations\snap_20260502_113142.jpg
2026-05-02 11:31:44.577,2,violations\snap_20260502_113144.jpg
2026-05-02 11:31:46.681,1,violations\snap_20260502_113146.jpg
